flight_id,flight_number,route_id,flight_date,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,aircraft_type,seat_capacity,flight_status,delay_min,block_time_delta,actual_block_hours,exact_fuel_cost_usd,total_operating_cost_usd
FLT00014,HF110,R010,2025-01-01,2025-01-01 22:00:00,2025-01-01 22:45:00,2025-01-01 23:10:00,2025-01-01 23:50:00,A319,122,Delayed,45.0,0 days 01:05:00,1.0833333333333333,2726.5,3864.0
FLT00015,HF111,R011,2025-01-01,2025-01-01 19:30:00,2025-01-01 19:30:00,2025-01-01 21:40:00,2025-01-01 21:35:00,A320,150,On Time,0.0,0 days 02:05:00,2.0833333333333335,4947.92,7239.58
FLT00016,HF112,R012,2025-01-01,2025-01-01 13:00:00,2025-01-01 13:05:00,2025-01-01 14:35:00,2025-01-01 14:35:00,A320neo,165,On Time,5.0,0 days 01:30:00,1.5,3017.44,4562.44
FLT00017,HF101,R001,2025-01-02,2025-01-02 16:30:00,2025-01-02 16:30:00,2025-01-02 17:20:00,2025-01-02 17:15:00,A320,150,On Time,0.0,0 days 00:45:00,0.75,1781.25,2606.25
FLT00018,HF102,R002,2025-01-02,2025-01-02 22:45:00,2025-01-02 22:50:00,2025-01-02 23:50:00,2025-01-02 23:50:00,A319,122,On Time,5.0,0 days 01:00:00,1.0,2308.5,3358.5
FLT00019,HF103,R003,2025-01-02,2025-01-02 16:30:00,2025-01-02 16:30:00,2025-01-02 17:40:00,2025-01-02 17:35:00,A320neo,165,On Time,0.0,0 days 01:05:00,1.0833333333333333,2161.25,3277.08
FLT00020,HF104,R004,2025-01-02,2025-01-02 06:15:00,2025-01-02 06:30:00,2025-01-02 07:25:00,2025-01-02 07:35:00,A320,150,Delayed,15.0,0 days 01:05:00,1.0833333333333333,2661.98,3853.65
FLT00021,HF104,R004,2025-01-02,2025-01-02 22:45:00,2025-01-02 23:45:00,2025-01-02 23:55:00,2025-01-03 00:50:00,A320,150,Delayed,60.0,0 days 01:05:00,1.0833333333333333,2929.17,4120.83
FLT00022,HF105,R005,2025-01-02,2025-01-02 16:15:00,,2025-01-02 18:25:00,,A319,122,Cancelled,,,,,
FLT00023,HF105,R005,2025-01-02,2025-01-02 22:30:00,2025-01-02 22:30:00,2025-01-03 00:40:00,2025-01-03 00:35:00,A320neo,165,On Time,0.0,0 days 02:05:00,2.0833333333333335,4156.25,6302.08
FLT00024,HF106,R006,2025-01-02,2025-01-02 22:30:00,2025-01-02 22:30:00,2025-01-03 00:05:00,2025-01-03 00:00:00,A319,122,On Time,0.0,0 days 01:30:00,1.5,3420.0,4995.0
FLT00025,HF106,R006,2025-01-02,2025-01-02 22:45:00,2025-01-02 22:40:00,2025-01-03 00:20:00,2025-01-03 00:15:00,A320neo,165,On Time,0.0,0 days 01:35:00,1.5833333333333333,3158.75,4789.58
FLT00026,HF107,R007,2025-01-02,2025-01-02 10:45:00,2025-01-02 10:40:00,2025-01-02 12:10:00,2025-01-02 12:05:00,A320,150,On Time,0.0,0 days 01:25:00,1.4166666666666667,3364.58,4922.92
FLT00027,HF108,R008,2025-01-02,2025-01-02 13:15:00,2025-01-02 13:15:00,2025-01-02 14:55:00,2025-01-02 14:50:00,A320,150,Delayed,0.0,0 days 01:35:00,1.5833333333333333,3760.42,5502.08
FLT00028,HF109,R009,2025-01-02,2025-01-02 10:30:00,2025-01-02 10:30:00,2025-01-02 17:00:00,2025-01-02 16:55:00,A330-900neo,242,On Time,0.0,0 days 06:25:00,6.416666666666667,15239.58,22297.92
FLT00029,HF109,R009,2025-01-02,2025-01-02 13:00:00,2025-01-02 13:00:00,2025-01-02 19:30:00,2025-01-02 19:25:00,A330-900neo,242,On Time,0.0,0 days 06:25:00,6.416666666666667,15239.58,22297.92
FLT00030,HF110,R010,2025-01-02,2025-01-02 13:00:00,2025-01-02 13:00:00,2025-01-02 14:10:00,2025-01-02 14:05:00,A320,150,On Time,0.0,0 days 01:05:00,1.0833333333333333,2572.92,3764.58
FLT00031,HF111,R011,2025-01-02,2025-01-02 22:15:00,2025-01-02 22:15:00,2025-01-03 00:25:00,2025-01-03 00:20:00,A319,122,On Time,0.0,0 days 02:05:00,2.0833333333333335,4750.0,6937.5
FLT00032,HF112,R012,2025-01-02,2025-01-02 13:15:00,2025-01-02 13:15:00,2025-01-02 14:50:00,2025-01-02 14:45:00,A320neo,165,On Time,0.0,0 days 01:30:00,1.5,2992.5,4537.5
FLT00033,HF101,R001,2025-01-03,2025-01-03 22:45:00,2025-01-03 22:45:00,2025-01-03 23:35:00,2025-01-03 23:30:00,A320neo,165,On Time,0.0,0 days 00:45:00,0.75,1496.25,2268.75
FLT00034,HF102,R002,2025-01-03,2025-01-03 06:30:00,2025-01-03 06:30:00,2025-01-03 07:35:00,2025-01-03 07:30:00,A319,122,On Time,0.0,0 days 01:00:00,1.0,2280.0,3330.0
FLT00035,HF103,R003,2025-01-03,2025-01-03 19:30:00,2025-01-03 19:40:00,2025-01-03 20:40:00,2025-01-03 20:45:00,A320,150,Delayed,10.0,0 days 01:05:00,1.0833333333333333,2632.29,3823.96
FLT00036,HF104,R004,2025-01-03,2025-01-03 10:45:00,2025-01-03 10:50:00,2025-01-03 11:55:00,2025-01-03 11:55:00,A320neo,165,On Time,5.0,0 days 01:05:00,1.0833333333333333,2186.19,3302.02
FLT00037,HF104,R004,2025-01-03,2025-01-03 22:00:00,2025-01-03 22:00:00,2025-01-03 23:10:00,2025-01-03 23:05:00,A320,150,On Time,0.0,0 days 01:05:00,1.0833333333333333,2572.92,3764.58
FLT00038,HF105,R005,2025-01-03,2025-01-03 16:30:00,2025-01-03 17:30:00,2025-01-03 18:40:00,2025-01-03 19:35:00,A320neo,165,Delayed,60.0,0 days 02:05:00,2.0833333333333335,4455.5,6601.33
FLT00039,HF105,R005,2025-01-03,2025-01-03 13:30:00,2025-01-03 13:35:00,2025-01-03 15:40:00,2025-01-03 15:40:00,A320,150,On Time,5.0,0 days 02:05:00,2.0833333333333335,4977.6,7269.27
FLT00040,HF106,R006,2025-01-03,2025-01-03 13:30:00,2025-01-03 13:30:00,2025-01-03 15:05:00,2025-01-03 15:00:00,A320,150,On Time,0.0,0 days 01:30:00,1.5,3562.5,5212.5
FLT00041,HF106,R006,2025-01-03,2025-01-03 16:15:00,,2025-01-03 17:50:00,,A320neo,165,Cancelled,,,,,
FLT00042,HF107,R007,2025-01-03,2025-01-03 16:30:00,2025-01-03 16:30:00,2025-01-03 17:55:00,2025-01-03 17:50:00,A319,122,On Time,0.0,0 days 01:20:00,1.3333333333333333,3040.0,4440.0
FLT00043,HF108,R008,2025-01-03,2025-01-03 22:00:00,2025-01-03 22:05:00,2025-01-03 23:40:00,2025-01-03 23:40:00,A320,150,On Time,5.0,0 days 01:35:00,1.5833333333333333,3790.1,5531.77
FLT00044,HF109,R009,2025-01-03,2025-01-03 13:45:00,2025-01-03 13:40:00,2025-01-03 20:15:00,2025-01-03 20:10:00,A330-900neo,242,On Time,0.0,0 days 06:30:00,6.5,15437.5,22587.5
FLT00045,HF109,R009,2025-01-03,2025-01-03 06:45:00,2025-01-03 07:30:00,2025-01-03 13:15:00,2025-01-03 13:55:00,A330-900neo,242,Delayed,45.0,0 days 06:25:00,6.416666666666667,15506.77,22565.1
FLT00046,HF110,R010,2025-01-03,2025-01-03 13:45:00,2025-01-03 13:50:00,2025-01-03 14:55:00,2025-01-03 14:55:00,A319,122,On Time,5.0,0 days 01:05:00,1.0833333333333333,2498.5,3636.0
FLT00047,HF111,R011,2025-01-03,2025-01-03 13:45:00,2025-01-03 13:45:00,2025-01-03 15:55:00,2025-01-03 15:50:00,A319,122,On Time,0.0,0 days 02:05:00,2.0833333333333335,4750.0,6937.5
FLT00048,HF112,R012,2025-01-03,2025-01-03 19:15:00,2025-01-03 19:15:00,2025-01-03 20:50:00,2025-01-03 20:45:00,A319,122,On Time,0.0,0 days 01:30:00,1.5,3420.0,4995.0
FLT00049,HF101,R001,2025-01-04,2025-01-04 16:30:00,2025-01-04 16:30:00,2025-01-04 17:20:00,2025-01-04 17:15:00,A320,150,Delayed,0.0,0 days 00:45:00,0.75,1781.25,2606.25
FLT00050,HF102,R002,2025-01-04,2025-01-04 06:15:00,2025-01-04 06:15:00,2025-01-04 07:20:00,2025-01-04 07:15:00,A320neo,165,Delayed,0.0,0 days 01:00:00,1.0,1995.0,3025.0
FLT00051,HF103,R003,2025-01-04,2025-01-04 06:45:00,2025-01-04 06:50:00,2025-01-04 07:55:00,2025-01-04 07:55:00,A319,122,On Time,5.0,0 days 01:05:00,1.0833333333333333,2498.5,3636.0
FLT00052,HF104,R004,2025-01-04,2025-01-04 06:15:00,2025-01-04 06:15:00,2025-01-04 07:25:00,2025-01-04 07:20:00,A320,150,Delayed,0.0,0 days 01:05:00,1.0833333333333333,2572.92,3764.58
FLT00053,HF104,R004,2025-01-04,2025-01-04 16:45:00,2025-01-04 17:30:00,2025-01-04 17:55:00,2025-01-04 18:35:00,A319,122,Delayed,45.0,0 days 01:05:00,1.0833333333333333,2726.5,3864.0
FLT00054,HF105,R005,2025-01-04,2025-01-04 22:00:00,2025-01-04 22:30:00,2025-01-05 00:10:00,2025-01-05 00:35:00,A319,122,Delayed,30.0,0 days 02:05:00,2.0833333333333335,4921.0,7108.5
FLT00055,HF105,R005,2025-01-04,2025-01-04 10:15:00,2025-01-04 10:15:00,2025-01-04 12:25:00,2025-01-04 12:20:00,A319,122,On Time,0.0,0 days 02:05:00,2.0833333333333335,4750.0,6937.5
FLT00056,HF106,R006,2025-01-04,2025-01-04 16:30:00,2025-01-04 16:30:00,2025-01-04 18:05:00,2025-01-04 18:00:00,A319,122,On Time,0.0,0 days 01:30:00,1.5,3420.0,4995.0
FLT00057,HF106,R006,2025-01-04,2025-01-04 13:30:00,2025-01-04 13:35:00,2025-01-04 15:05:00,2025-01-04 15:05:00,A320,150,On Time,5.0,0 days 01:30:00,1.5,3592.19,5242.19
FLT00058,HF107,R007,2025-01-04,2025-01-04 16:45:00,2025-01-04 16:45:00,2025-01-04 18:10:00,2025-01-04 18:05:00,A320,150,On Time,0.0,0 days 01:20:00,1.3333333333333333,3166.67,4633.33
FLT00059,HF108,R008,2025-01-04,2025-01-04 08:45:00,2025-01-04 09:00:00,2025-01-04 10:25:00,2025-01-04 10:35:00,A320neo,165,Delayed,15.0,0 days 01:35:00,1.5833333333333333,3233.56,4864.4
FLT00060,HF109,R009,2025-01-04,2025-01-04 10:15:00,2025-01-04 10:15:00,2025-01-04 16:45:00,2025-01-04 16:40:00,A330-900neo,242,On Time,0.0,0 days 06:25:00,6.416666666666667,15239.58,22297.92
FLT00061,HF109,R009,2025-01-04,2025-01-04 16:30:00,2025-01-04 17:30:00,2025-01-04 23:00:00,2025-01-04 23:55:00,A330-900neo,242,Delayed,60.0,0 days 06:25:00,6.416666666666667,15595.83,22654.17
FLT00062,HF110,R010,2025-01-04,2025-01-04 19:15:00,2025-01-04 19:15:00,2025-01-04 20:25:00,2025-01-04 20:20:00,A320,150,On Time,0.0,0 days 01:05:00,1.0833333333333333,2572.92,3764.58
FLT00063,HF111,R011,2025-01-04,2025-01-04 13:00:00,2025-01-04 13:00:00,2025-01-04 15:10:00,2025-01-04 15:05:00,A319,122,Delayed,0.0,0 days 02:05:00,2.0833333333333335,4750.0,6937.5
FLT00064,HF112,R012,2025-01-04,2025-01-04 13:30:00,2025-01-04 13:35:00,2025-01-04 15:05:00,2025-01-04 15:05:00,A319,122,On Time,5.0,0 days 01:30:00,1.5,3448.5,5023.5
FLT00065,HF101,R001,2025-01-05,2025-01-05 10:15:00,2025-01-05 11:15:00,2025-01-05 11:05:00,2025-01-05 12:00:00,A320neo,165,Delayed,60.0,0 days 00:45:00,0.75,1795.5,2568.0
FLT00066,HF102,R002,2025-01-05,2025-01-05 13:45:00,2025-01-05 13:40:00,2025-01-05 14:50:00,2025-01-05 14:45:00,A319,122,On Time,0.0,0 days 01:05:00,1.0833333333333333,2470.0,3607.5
FLT00067,HF103,R003,2025-01-05,2025-01-05 08:45:00,2025-01-05 08:45:00,2025-01-05 09:55:00,2025-01-05 09:50:00,A319,122,Delayed,0.0,0 days 01:05:00,1.0833333333333333,2470.0,3607.5
FLT00068,HF104,R004,2025-01-05,2025-01-05 08:00:00,2025-01-05 08:05:00,2025-01-05 09:10:00,2025-01-05 09:10:00,A320,150,Delayed,5.0,0 days 01:05:00,1.0833333333333333,2602.6,3794.27
FLT00069,HF104,R004,2025-01-05,2025-01-05 06:15:00,2025-01-05 06:15:00,2025-01-05 07:25:00,2025-01-05 07:20:00,A320neo,165,On Time,0.0,0 days 01:05:00,1.0833333333333333,2161.25,3277.08
FLT00070,HF105,R005,2025-01-05,2025-01-05 22:15:00,2025-01-05 22:15:00,2025-01-06 00:25:00,2025-01-06 00:20:00,A319,122,On Time,0.0,0 days 02:05:00,2.0833333333333335,4750.0,6937.5
FLT00071,HF105,R005,2025-01-05,2025-01-05 22:15:00,2025-01-05 22:10:00,2025-01-06 00:25:00,2025-01-06 00:20:00,A320,150,On Time,0.0,0 days 02:10:00,2.1666666666666665,5145.83,7529.17
FLT00072,HF106,R006,2025-01-05,2025-01-05 08:00:00,,2025-01-05 09:35:00,,A320,150,Cancelled,,,,,
FLT00073,HF106,R006,2025-01-05,2025-01-05 08:30:00,2025-01-05 09:15:00,2025-01-05 10:05:00,2025-01-05 10:45:00,A320,150,Delayed,45.0,0 days 01:30:00,1.5,3829.69,5479.69
FLT00074,HF107,R007,2025-01-05,2025-01-05 08:00:00,2025-01-05 08:00:00,2025-01-05 09:25:00,2025-01-05 09:20:00,A319,122,Delayed,0.0,0 days 01:20:00,1.3333333333333333,3040.0,4440.0
FLT00075,HF108,R008,2025-01-05,2025-01-05 08:45:00,2025-01-05 08:45:00,2025-01-05 10:25:00,2025-01-05 10:20:00,A319,122,On Time,0.0,0 days 01:35:00,1.5833333333333333,3610.0,5272.5
FLT00076,HF109,R009,2025-01-05,2025-01-05 19:15:00,2025-01-05 19:15:00,2025-01-06 01:45:00,2025-01-06 01:40:00,A330-900neo,242,On Time,0.0,0 days 06:25:00,6.416666666666667,15239.58,22297.92
FLT00077,HF109,R009,2025-01-05,2025-01-05 10:15:00,2025-01-05 10:15:00,2025-01-05 16:45:00,2025-01-05 16:40:00,A330-900neo,242,On Time,0.0,0 days 06:25:00,6.416666666666667,15239.58,22297.92
FLT00078,HF110,R010,2025-01-05,2025-01-05 13:00:00,2025-01-05 13:00:00,2025-01-05 14:10:00,2025-01-05 14:05:00,A319,122,On Time,0.0,0 days 01:05:00,1.0833333333333333,2470.0,3607.5
FLT00079,HF111,R011,2025-01-05,2025-01-05 08:00:00,2025-01-05 08:00:00,2025-01-05 10:10:00,2025-01-05 10:05:00,A319,122,On Time,0.0,0 days 02:05:00,2.0833333333333335,4750.0,6937.5
FLT00080,HF112,R012,2025-01-05,2025-01-05 13:30:00,2025-01-05 13:25:00,2025-01-05 15:05:00,2025-01-05 15:00:00,A319,122,On Time,0.0,0 days 01:35:00,1.5833333333333333,3610.0,5272.5
FLT00081,HF101,R001,2025-01-06,2025-01-06 22:30:00,2025-01-06 22:25:00,2025-01-06 23:20:00,2025-01-06 23:15:00,A319,122,On Time,0.0,0 days 00:50:00,0.8333333333333334,1900.0,2775.0
FLT00082,HF102,R002,2025-01-06,2025-01-06 10:45:00,2025-01-06 10:40:00,2025-01-06 11:50:00,2025-01-06 11:45:00,A320,150,On Time,0.0,0 days 01:05:00,1.0833333333333333,2572.92,3764.58
FLT00083,HF103,R003,2025-01-06,2025-01-06 08:45:00,2025-01-06 08:40:00,2025-01-06 09:55:00,2025-01-06 09:50:00,A320,150,On Time,0.0,0 days 01:10:00,1.1666666666666667,2770.83,4054.17
FLT00084,HF104,R004,2025-01-06,2025-01-06 08:15:00,2025-01-06 08:15:00,2025-01-06 09:25:00,2025-01-06 09:20:00,A319,122,On Time,0.0,0 days 01:05:00,1.0833333333333333,2470.0,3607.5
FLT00085,HF104,R004,2025-01-06,2025-01-06 06:00:00,,2025-01-06 07:10:00,,A320,150,Cancelled,,,,,
FLT00086,HF105,R005,2025-01-06,2025-01-06 08:15:00,2025-01-06 08:15:00,2025-01-06 10:25:00,2025-01-06 10:20:00,A319,122,On Time,0.0,0 days 02:05:00,2.0833333333333335,4750.0,6937.5
FLT00087,HF105,R005,2025-01-06,2025-01-06 10:30:00,2025-01-06 10:30:00,2025-01-06 12:40:00,2025-01-06 12:35:00,A319,122,On Time,0.0,0 days 02:05:00,2.0833333333333335,4750.0,6937.5
FLT00088,HF106,R006,2025-01-06,2025-01-06 19:30:00,2025-01-06 19:25:00,2025-01-06 21:05:00,2025-01-06 21:00:00,A320,150,On Time,0.0,0 days 01:35:00,1.5833333333333333,3760.42,5502.08
FLT00089,HF106,R006,2025-01-06,2025-01-06 19:45:00,2025-01-06 19:40:00,2025-01-06 21:20:00,2025-01-06 21:15:00,A320neo,165,On Time,0.0,0 days 01:35:00,1.5833333333333333,3158.75,4789.58
FLT00090,HF107,R007,2025-01-06,2025-01-06 22:15:00,2025-01-06 22:10:00,2025-01-06 23:40:00,2025-01-06 23:35:00,A320,150,On Time,0.0,0 days 01:25:00,1.4166666666666667,3364.58,4922.92
FLT00091,HF108,R008,2025-01-06,2025-01-06 06:00:00,2025-01-06 06:05:00,2025-01-06 07:40:00,2025-01-06 07:40:00,A319,122,On Time,5.0,0 days 01:35:00,1.5833333333333333,3638.5,5301.0
FLT00092,HF109,R009,2025-01-06,2025-01-06 19:15:00,2025-01-06 19:15:00,2025-01-07 01:45:00,2025-01-07 01:40:00,A330-900neo,242,On Time,0.0,0 days 06:25:00,6.416666666666667,15239.58,22297.92
FLT00093,HF109,R009,2025-01-06,2025-01-06 06:30:00,2025-01-06 06:35:00,2025-01-06 13:00:00,2025-01-06 13:00:00,A330-900neo,242,Delayed,5.0,0 days 06:25:00,6.416666666666667,15269.27,22327.6
FLT00094,HF110,R010,2025-01-06,2025-01-06 10:15:00,2025-01-06 10:15:00,2025-01-06 11:25:00,2025-01-06 11:20:00,A319,122,On Time,0.0,0 days 01:05:00,1.0833333333333333,2470.0,3607.5
FLT00095,HF111,R011,2025-01-06,2025-01-06 06:45:00,2025-01-06 06:40:00,2025-01-06 08:55:00,2025-01-06 08:50:00,A320,150,On Time,0.0,0 days 02:10:00,2.1666666666666665,5145.83,7529.17
FLT00096,HF112,R012,2025-01-06,2025-01-06 06:15:00,2025-01-06 06:15:00,2025-01-06 07:50:00,2025-01-06 07:45:00,A320,150,On Time,0.0,0 days 01:30:00,1.5,3562.5,5212.5
FLT00097,HF101,R001,2025-01-07,2025-01-07 16:00:00,2025-01-07 16:00:00,2025-01-07 16:50:00,2025-01-07 16:45:00,A319,122,On Time,0.0,0 days 00:45:00,0.75,1710.0,2497.5
FLT00098,HF102,R002,2025-01-07,2025-01-07 16:00:00,2025-01-07 16:00:00,2025-01-07 17:05:00,2025-01-07 17:00:00,A320,150,On Time,0.0,0 days 01:00:00,1.0,2375.0,3475.0
FLT00099,HF103,R003,2025-01-07,2025-01-07 10:45:00,2025-01-07 10:45:00,2025-01-07 11:55:00,2025-01-07 11:50:00,A319,122,On Time,0.0,0 days 01:05:00,1.0833333333333333,2470.0,3607.5
FLT00100,HF104,R004,2025-01-07,2025-01-07 19:15:00,2025-01-07 19:15:00,2025-01-07 20:25:00,2025-01-07 20:20:00,A319,122,Delayed,0.0,0 days 01:05:00,1.0833333333333333,2470.0,3607.5
FLT00101,HF104,R004,2025-01-07,2025-01-07 06:45:00,2025-01-07 06:55:00,2025-01-07 07:55:00,2025-01-07 08:00:00,A320neo,165,Delayed,10.0,0 days 01:05:00,1.0833333333333333,2211.12,3326.96
FLT00102,HF105,R005,2025-01-07,2025-01-07 19:15:00,2025-01-07 19:15:00,2025-01-07 21:25:00,2025-01-07 21:20:00,A319,122,On Time,0.0,0 days 02:05:00,2.0833333333333335,4750.0,6937.5
FLT00103,HF105,R005,2025-01-07,2025-01-07 22:30:00,,2025-01-08 00:40:00,,A320,150,Cancelled,,,,,
FLT00104,HF106,R006,2025-01-07,2025-01-07 13:00:00,2025-01-07 12:55:00,2025-01-07 14:35:00,2025-01-07 14:30:00,A319,122,On Time,0.0,0 days 01:35:00,1.5833333333333333,3610.0,5272.5
FLT00105,HF106,R006,2025-01-07,2025-01-07 19:15:00,2025-01-07 19:10:00,2025-01-07 20:50:00,2025-01-07 20:45:00,A320neo,165,On Time,0.0,0 days 01:35:00,1.5833333333333333,3158.75,4789.58
FLT00106,HF107,R007,2025-01-07,2025-01-07 22:15:00,2025-01-07 22:10:00,2025-01-07 23:40:00,2025-01-07 23:35:00,A320,150,On Time,0.0,0 days 01:25:00,1.4166666666666667,3364.58,4922.92
FLT00107,HF108,R008,2025-01-07,2025-01-07 06:15:00,2025-01-07 06:15:00,2025-01-07 07:55:00,2025-01-07 07:50:00,A320neo,165,On Time,0.0,0 days 01:35:00,1.5833333333333333,3158.75,4789.58
FLT00108,HF109,R009,2025-01-07,2025-01-07 22:30:00,2025-01-07 22:35:00,2025-01-08 05:00:00,2025-01-08 05:00:00,A330-900neo,242,On Time,5.0,0 days 06:25:00,6.416666666666667,15269.27,22327.6
FLT00109,HF109,R009,2025-01-07,2025-01-07 16:15:00,2025-01-07 16:20:00,2025-01-07 22:45:00,2025-01-07 22:45:00,A330-900neo,242,On Time,5.0,0 days 06:25:00,6.416666666666667,15269.27,22327.6
FLT00110,HF110,R010,2025-01-07,2025-01-07 22:45:00,2025-01-07 22:45:00,2025-01-07 23:55:00,2025-01-07 23:50:00,A319,122,On Time,0.0,0 days 01:05:00,1.0833333333333333,2470.0,3607.5
FLT00111,HF111,R011,2025-01-07,2025-01-07 19:15:00,2025-01-07 19:15:00,2025-01-07 21:25:00,2025-01-07 21:20:00,A320,150,On Time,0.0,0 days 02:05:00,2.0833333333333335,4947.92,7239.58
FLT00112,HF112,R012,2025-01-07,2025-01-07 08:15:00,2025-01-07 08:45:00,2025-01-07 09:50:00,2025-01-07 10:15:00,A320neo,165,Delayed,30.0,0 days 01:30:00,1.5,3142.12,4687.12
FLT00113,HF101,R001,2025-01-08,2025-01-08 19:00:00,,2025-01-08 19:50:00,,A320,150,Cancelled,,,,,
FLT00114,HF102,R002,2025-01-08,2025-01-08 06:45:00,2025-01-08 06:40:00,2025-01-08 07:50:00,2025-01-08 07:45:00,A320,150,On Time,0.0,0 days 01:05:00,1.0833333333333333,2572.92,3764.58
FLT00115,HF103,R003,2025-01-08,2025-01-08 22:00:00,2025-01-08 21:55:00,2025-01-08 23:10:00,2025-01-08 23:05:00,A320neo,165,On Time,0.0,0 days 01:10:00,1.1666666666666667,2327.5,3529.17
FLT00116,HF104,R004,2025-01-08,2025-01-08 22:30:00,2025-01-08 23:00:00,2025-01-08 23:40:00,2025-01-09 00:05:00,A319,122,Delayed,30.0,0 days 01:05:00,1.0833333333333333,2641.0,3778.5
FLT00117,HF104,R004,2025-01-08,2025-01-08 16:15:00,2025-01-08 17:15:00,2025-01-08 17:25:00,2025-01-08 18:20:00,A320,150,Delayed,60.0,0 days 01:05:00,1.0833333333333333,2929.17,4120.83
FLT00118,HF105,R005,2025-01-08,2025-01-08 08:30:00,2025-01-08 08:30:00,2025-01-08 10:40:00,2025-01-08 10:35:00,A320,150,Delayed,0.0,0 days 02:05:00,2.0833333333333335,4947.92,7239.58
FLT00119,HF105,R005,2025-01-08,2025-01-08 19:45:00,2025-01-08 19:50:00,2025-01-08 21:55:00,2025-01-08 21:55:00,A320neo,165,Delayed,5.0,0 days 02:05:00,2.0833333333333335,4181.19,6327.02
FLT00120,HF106,R006,2025-01-08,2025-01-08 13:45:00,2025-01-08 14:00:00,2025-01-08 15:20:00,2025-01-08 15:30:00,A320neo,165,Delayed,15.0,0 days 01:30:00,1.5,3067.31,4612.31
FLT00121,HF106,R006,2025-01-08,2025-01-08 19:00:00,2025-01-08 19:00:00,2025-01-08 20:35:00,2025-01-08 20:30:00,A320,150,On Time,0.0,0 days 01:30:00,1.5,3562.5,5212.5
FLT00122,HF107,R007,2025-01-08,2025-01-08 08:15:00,2025-01-08 08:15:00,2025-01-08 09:40:00,2025-01-08 09:35:00,A320neo,165,On Time,0.0,0 days 01:20:00,1.3333333333333333,2660.0,4033.33
FLT00123,HF108,R008,2025-01-08,2025-01-08 13:00:00,2025-01-08 13:00:00,2025-01-08 14:40:00,2025-01-08 14:35:00,A320,150,On Time,0.0,0 days 01:35:00,1.5833333333333333,3760.42,5502.08
