customer_id,loyalty_tier,customer_segment,preferred_channel,total_flights,delayed_flights,total_delay_min,routes_flown,verbatim_text,sentiment_score
CUST0018,Silver,Standard,Mobile App,47,11,350.0,"R005, R003, R012, R009, R001, R008, R011, R004, R010, R002, R006, R007","While I appreciate being a Silver member with Air Côte d'Ivoire, my travel experience over the past year has been frustrating due to an average delay rate of approximately 23%. Out of nearly half a dozen flights taken using their mobile app for booking convenience and flying across multiple routes like R005 (Abidjan), there were eleven delays accumulating around 350 minutes in total. I hope they can address these recurrent issues soon as this has caused significant inconvenience.",-0.7
CUST0022,Gold,Standard,Mobile App,32,11,250.0,"R012, R003, R001, R006, R005, R004, R010, R002, R008, R009, R007, R011","As a Gold member, I expected more reliability from Air Côte d'Ivoire with my frequent travels over the past year despite flying on main routes R012 to R011 and using their mobile app for bookings. Unfortunately, I've experienced significant delays across all flights totaling an alarming delay rate of 34.4%. The cumulative frustration has reached a peak given that I flew Standard segment as Gold tier promises better service.",-0.8
CUST0023,Explorer,Business,Mobile App,38,14,245.0,"R006, R004, R005, R009, R011, R003, R002, R010, R012, R001, R008, R007","As a frequent traveler with the Explorer tier, I've flown Air Côte d'Ivoire for nearly three years now and have experienced delays on over half of my flights (14 out of 38). This has significantly impacted my travel plans despite using their mobile app as preferred. While I appreciate that occasional issues can arise in air transport due to various reasons such as weather or operational challenges, a delay rate this high is quite frustrating for someone who values punctuality and reliability.",-0.8
CUST0025,Silver,Business,Corporate Desk,35,10,155.0,"R006, R012, R001, R004, R007, R008, R010, R009, R003, R005, R011","My experience with Air Côte d'Ivoire over the past year has been mixed, though I appreciate their efforts on my main routes flown frequently like R006 and R012. While I've encountered significant delays (10 out of 35 flights), which is concerning for a Silver-tier member expecting better service reliability.",-0.5
CUST0026,Explorer,Business,Mobile App,51,18,345.0,"R001, R004, R006, R007, R005, R003, R011, R009, R010, R002, R012, R008","Flying with Air Côte d'Ivoire as an Explorer has been a mixed experience due to the high delay rate of approximately 35%. While I appreciate their mobile app booking system, it's crucial for them to improve punctuality on main routes R001-R012 I've flown. The cumulative frustration over numerous delays cannot be overstated.",-0.6
CUST0028,Gold,Business,Travel Agency,41,12,220.0,"R006, R005, R009, R004, R011, R007, R012, R008, R003, R002, R001","While I appreciate the frequent flyer benefits with Air Côte d'Ivoire, my experience over these past flights has been marred by a significant delay rate of almost 30%. Despite flying through multiple key routes and relying on their services as part of our travel agency arrangements for business trips (Gold Loyalty Tier), I've encountered numerous delays totaling approximately five hours. The disruptions have caused considerable inconvenience in meeting tight schedules, which is not the reliability I expect at this level.",-0.6
CUST0030,Silver,Standard,Web,44,15,310.0,"R002, R004, R005, R003, R010, R007, R009, R012, R008, R006, R011","As a Silver tier member of Air Côte d'Ivoire, my overall experience over the past year has been quite frustrating due to frequent delays on all main routes flown (R002-R012). With an alarming delay rate at nearly one-third across just under 45 flights and accumulated delayed time totaling about six hours. Though I appreciate some flexibility with bookings made via web channels, consistent reliability remains a critical expectation for me as Silver members.",-0.75
CUST0031,Gold,Budget,Mobile App,43,10,255.0,"R002, R006, R011, R004, R005, R010, R003, R008, R009, R012, R007, R001","While I appreciate the Gold loyalty benefits, my experience with Air Côte d'Ivoire over the past year has been less than satisfactory due to a high delay rate of approximately 23%. Despite flying frequently and enjoying occasional perks from being on Gold tier status, these frequent delays have overshadowed many positive moments. My mobile app bookings were convenient but unable to mitigate this ongoing issue.",-0.7
CUST0032,Explorer,Budget,Corporate Desk,35,11,310.0,"R002, R005, R007, R008, R012, R010, R006, R009, R001, R004, R011","As a frequent Explorer with Air Côte d'Ivoire, I've experienced considerable frustration over the past year due to an alarming delay rate of nearly one in every four flights (31.4%). Delays have accumulated significantly across my total flight time—310 minutes lost waiting for departures and arrivals—which is quite disappointing given that I prefer booking through a Corporate Desk with expectations towards timely services.",-0.7
CUST0033,Explorer,Budget,Web,40,15,480.0,"R005, R008, R010, R009, R004, R001, R011, R012, R002, R006, R003, R007","As a frequent traveler with Air Côte d'Ivoire, my experience has been moderately frustrating due to the high delay rate of approximately 37.5%. While I appreciate that delays can happen occasionally on flights like mine (Budget Explorer), consistently facing this issue affects convenience and plans significantly.",-0.6
CUST0035,Explorer,Standard,Corporate Desk,45,18,365.0,"R001, R003, R012, R009, R002, R004, R006, R011, R010, R007, R005","As a loyal Explorer, I've experienced quite some turbulence with Air Côte d'Ivoire over the past year; my total flight count of just under half is overshadowed by an unsettling delay rate that consistently hovered around or even exceeded expectations (40%). Despite enjoying multiple routes across West Africa and appreciating occasional seamless connections facilitated through our preferred booking channel - Corporate Desk, it's frustrating to say goodbye on so many occasions due to cancellations. While there's always room for improvement in their reliability metrics which directly impact my travel experiences.",-0.5
CUST0039,Silver,Standard,Web,38,12,305.0,"R009, R010, R006, R008, R011, R002, R005, R004, R003, R001, R007, R012","Air Côte d'Ivoire has been my go-to standard carrier for frequent travel over the past year, totaling an impressive 38 flights through their various routes like R009 and R010. However, with a notable delay rate of about 31%, I've experienced significant disruptions amounting to approximately 305 minutes in total delays across these trips – this is especially frustrating as I hold Silver loyalty status which suggests better treatment should be expected.",-0.5
CUST0040,Silver,Budget,Corporate Desk,39,7,190.0,"R012, R004, R005, R003, R011, R001, R007, R009, R006, R002, R008","As a Silver Loyalty Tier member, I have flown with Air Côte d'Ivoire on multiple occasions over the past year and while their frequent flyer rewards are appreciated given my Budget status (total flights: 39), I've experienced significant inconvenience due to delays in almost one-fifth of all trips taken. With seven total flight disruptions causing nearly two hours lost across different routes, it has been frustrating although it's a learning curve for any airline's growth phase.",-0.5
CUST0041,Silver,Business,Mobile App,47,11,370.0,"R006, R009, R007, R004, R005, R002, R001, R003, R008, R011","Despite some delays, I've enjoyed my frequent travels with Air Côte d'Ivoire over the past year using their mobile app for booking convenience and Silver loyalty benefits.",0.3
CUST0043,Explorer,Budget,Travel Agency,28,4,80.0,"R006, R003, R004, R009, R012, R001, R008, R007, R002, R010, R005","Overall, my experience with Air Côte d'Ivoire has been mostly satisfying despite experiencing a few delays during the year; their main routes have always met expectations and booking through travel agencies was convenient.",0.2
CUST0046,Silver,Business,Corporate Desk,36,7,140.0,"R001, R005, R009, R011, R002, R004, R008, R012, R006, R007, R003, R010","Overall, Air Côte d'Ivoire has been satisfactory with occasional delays that didn't significantly impact my travel plans as a Silver Loyalty Tier member and frequent business traveler.",0.5
CUST0047,Silver,Budget,Corporate Desk,43,18,340.0,"R008, R001, R003, R004, R002, R005, R011, R012, R006, R009, R007, R010","Air Côte d'Ivoire has been a mixed bag for me as an occasional Silver tier flyer over the past year, with significant delays on most of my flights totaling nearly eight hours cumulatively (41.9% delay rate). While I appreciate their main routes coverage and Corporate Desk booking channel preference, these frequent disruptions have overshadowed other positives.",-0.5
CUST0048,Explorer,Business,Mobile App,39,11,185.0,"R005, R006, R003, R008, R009, R011, R010, R001, R002, R007, R004, R012","My experience with Air Côte d'Ivoire over the past year has been a mixed bag of reliability issues, as I've faced numerous delays totaling nearly five hours across my frequent business travel. Despite being an Explorer Tier member who values punctuality for meeting tight schedules and commitments on various routes like R005 to R012 using their mobile app booking channel preference, this high delay rate (28.2%) has been particularly frustrating.",-0.6
CUST0049,Explorer,Standard,Mobile App,31,4,85.0,"R003, R005, R002, R006, R009, R011, R012, R007, R004, R008, R010","Over the past year, I've taken a total of 31 flights with Air Côte d'Ivoire using their mobile app for bookings and traveled through several routes including R003 to R012 (R004 was canceled). Although I experienced four delays totaling only 85 minutes across all my trips—which accounts for about a 12.9% delay rate—I appreciate that these occurrences were not frequent disruptions but rather isolated incidents in an otherwise smooth flying experience.",0.3
CUST0051,Explorer,Standard,Travel Agency,35,9,345.0,"R004, R011, R012, R009, R006, R005, R007, R008, R001, R002","As an Explorer tier member, I've taken a total of 35 flights with Air Côte d'Ivoire over the past year through my preferred Travel Agency booking channel. While I appreciate that occasional delays can happen to anyone flying often (with this trip having had one significant delay), I'm disappointed in seeing such high overall and cumulative minutes lost due to these disruptions which affect both convenience and productivity.",-0.6
CUST0053,Explorer,Standard,Travel Agency,45,13,210.0,"R005, R006, R012, R003, R009, R002, R007, R011, R004, R008, R010, R001","While Air Côte d'Ivoire offers convenient connections across my main routes, the frequent delays I've experienced have been quite frustrating throughout the year (13 out of 45 flights). As an Explorer Tier member who usually books through a travel agency like myself did in many cases to take advantage of those deals and services offered by you, I hope future improvements can be made. A reliable airline would surely boost my loyalty.",-0.6
CUST0055,Explorer,Budget,Mobile App,47,15,510.0,"R008, R004, R006, R002, R012, R010, R009, R001, R005, R003","Over the past year as a Budget Explorer flyer, my experience with Air Côte d'Ivoire has largely been disappointing due to an average delay rate of around 31%. Despite being loyal through numerous flights on popular routes like R008 and R004 via mobile app bookings, I often faced cancellations or significant delays that disrupted well-planned itineraries. Although the airline offers frequent flyer perks for Explorers, it's hard not to feel frustrated with such a high cumulative inconvenience.",-0.6
CUST0056,Gold,Standard,Web,33,11,200.0,"R002, R004, R011, R012, R003, R010, R007, R005, R008, R001, R006, R009","While I appreciate the Gold status perks, my experience with Air Côte d'Ivoire has been marred by a disappointing delay rate of over 33%. Despite being loyal to your airline for an entire year and flying on various routes like R002, R004, etc., I've faced significant disruptions totaling nearly two hours. Your team should prioritize improving flight punctuality as it greatly affects the overall travel experience.",-0.6
CUST0057,Explorer,Standard,Travel Agency,39,8,330.0,"R006, R001, R004, R011, R003, R008, R009, R010, R005, R002, R007, R012","Over the past year, I have flown with Air Côte d'Ivoire quite frequently—39 times in total! While I've faced some delays (8 out of those), which gave me a delay rate slightly above average at around 20%, I'm willing to forgive these occasional hiccups. The main routes were always well-served and my preference for booking through travel agencies proved convenient.",-0.1
CUST0060,Silver,Business,Web,41,14,510.0,"R008, R001, R004, R005, R006, R009, R012, R003, R007, R011, R002, R010","As a Silver Loyalty member, my experience with Air Côte d'Ivoire over the past year has been less than ideal due to frequent delays on numerous routes like R008 and R001—totaling fourteen delayed flights out of forty-one attempts (34.1% delay rate). The cumulative frustration caused by these disruptions significantly impacted our business travel efficiency despite using Web for booking.",-0.7
CUST0061,Silver,Standard,Travel Agency,34,7,245.0,"R009, R005, R010, R001, R003, R012, R007, R002, R004, R006","As a Silver member who has flown with Air Côte d'Ivoire for the past year, I've encountered some delays on my flights—7 out of 34 total trips were delayed by an average time totaling nearly five hours across all flight times combined (20.6% delay rate). While I appreciate that occasional disruptions can happen in air travel and have had a few good experiences flying to routes such as R009 and R005, the cumulative effect has caused me significant frustration over this period of my journey with Air Côte d'Ivoire.",-0.5
CUST0063,Explorer,Budget,Mobile App,40,9,225.0,"R001, R002, R007, R004, R006, R008, R009, R003, R010, R005, R012, R011","As an Explorer-level traveler with Air Côte d'Ivoire, I've taken a total of 40 flights on their budget segment over the past year through R001 to R012 via mobile app bookings. While I appreciate that delays are inevitable in air travel (which accounts for about half my trips), experiencing nearly one-third delayed significantly impacts overall satisfaction and productivity from time spent waiting.",-0.5
CUST0064,Explorer,Standard,Web,31,8,250.0,"R011, R001, R007, R009, R008, R004, R006, R003, R005, R010, R002","As an Explorer member, I've had a mixed experience with Air Côte d'Ivoire over the past year; I took advantage of their services for my travel needs on routes R011 to R010 and enjoyed comfortable flights most times. However, there were significant delays in 8 out of those trips (about every third flight), totaling nearly five hours across all journeys which was quite frustrating at points but I'm willing to give them another chance as they have shown some improvement over time.",-0.5
CUST0066,Explorer,Standard,Mobile App,33,9,270.0,"R005, R011, R008, R009, R004, R002, R006, R012, R007, R001, R003, R010","While I've enjoyed flying with Air Côte d'Ivoire on many occasions, my frustration has grown due to a high delay rate of nearly 27%. Despite enjoying the convenience and comfort provided by their mobile app bookings for frequent flyers like me in Explorer Tier, these consistent delays have taken away from what should be an enjoyable travel experience. I hope future efforts can improve reliability.",-0.7
CUST0067,Explorer,Standard,Web,36,11,190.0,"R005, R006, R012, R004, R009, R001, R010, R002, R007","As a frequent traveler with Air Côte d'Ivoire, I've experienced an average delay rate of nearly 31%. Despite enjoying flights on routes like R005 and R006 for my Explorer status in the past year (36 total trips), this high level of delays has been disappointing. The cumulative frustration from these interruptions is noteworthy.",-0.6
CUST0068,Gold,Premium,Corporate Desk,32,15,295.0,"R003, R009, R001, R006, R004, R002, R007, R012, R005, R010, R011","Despite being a Gold member with Air Côte d'Ivoire, I've experienced an unacceptably high delay rate of over 46%. Out of my total flights taken in the past year (32), nearly half were delayed for various reasons—an aggregate inconvenience that has significantly marred what should have been smooth premium travel experiences. The cumulative frustration due to delays and frequent disruptions is understandably disappointing.",-0.8
CUST0069,Silver,Premium,Corporate Desk,38,15,405.0,"R003, R012, R006, R010, R001, R008, R009, R005, R011, R002, R007, R004","While I appreciate the premium service at Air Côte d'Ivoire, my experience has been disappointing due to a high delay rate of nearly 40%. This significantly impacted both personal and professional commitments over multiple flights within R003-R011 routes.",-0.7
CUST0074,Silver,Budget,Web,27,9,150.0,"R007, R001, R004, R008, R003, R005, R009, R006, R011, R002","My overall experience with Air Côte d'Ivoire has been somewhat frustrating due to the high delay rate of approximately 33%. As a Silver member, I expected better service and reliability from my budget carrier.",-0.5
CUST0075,Gold,Standard,Corporate Desk,44,7,195.0,"R010, R011, R001, R007, R012, R004, R003, R002, R006, R005, R009, R008","As a Gold member with Air Côte d'Ivoire, I appreciate the efforts of your team but am disappointed by my delay rate at approximately 15.9%. Despite frequent flyer benefits and high expectations for premium treatment as per our loyalty tier, I've experienced significant delays totaling almost four hours across all flights taken this year.",-0.5
CUST0077,Gold,Business,Travel Agency,39,16,365.0,"R008, R009, R010, R006, R007, R001, R004, R005, R002, R011, R003","Despite the frequent disruptions, I've managed to maintain a Gold membership with Air Côte d'Ivoire for over a year and have flown on many routes like R008 and R009 through my travel agency bookings. The cumulative frustration from high delay rates is palpable as these interruptions significantly impacted both personal commitments and business trips.",-0.7
CUST0078,Gold,Business,Mobile App,28,11,190.0,"R004, R009, R001, R003, R010, R008, R002, R006, R012, R011, R005, R007","Despite my frequent travels with Air Côte d'Ivoire as a Gold member, the high delay rate of over 39% across numerous flights has significantly hindered our business operations and personal schedules. Although we appreciate efforts to improve service reliability moving forward.",-0.8
CUST0079,Silver,Standard,Travel Agency,52,15,460.0,"R009, R002, R011, R010, R001, R005, R012, R003, R006, R004, R007, R008","Overall, my experience with Air Côte d'Ivoire has been largely disappointing due to the high delay rate of nearly 29%. Despite being a Silver loyalty member and having flown extensively over this past year (52 flights), I often faced delays totaling around 460 minutes across all bookings. While it's understood that disruptions can happen occasionally through unforeseen circumstances, it seems like there's room for improvement in their operational efficiency.",-0.6
CUST0080,Explorer,Budget,Web,31,10,295.0,"R002, R004, R011, R006, R007, R009, R003, R010, R012, R008, R005","Despite my frequent flying with Air Côte d'Ivoire, I've experienced quite a frustrating delay rate of over 32%. Out of the numerous flights taken (31 in total), I had to endure delays on more than half due to reasons beyond control such as weather and operational issues. As an Explorer tier member seeking better service from this airline for my frequent trips across main routes like R002, R004 etc., it's disappointing that reliability hasn't been consistent.",-0.7
CUST0081,Gold,Budget,Mobile App,33,16,415.0,"R001, R009, R002, R006, R011, R005, R010, R012, R008, R004, R007","Despite being a Gold member, Air Côte d'Ivoire's frequent delays with an alarming rate of nearly half my flights have significantly dampened the overall experience for me over these past year.",-1.0
CUST0082,Silver,Standard,Travel Agency,38,8,125.0,"R003, R001, R006, R002, R007, R004, R005, R009, R012, R010, R011, R008","While I appreciate the frequent flyer benefits as a Silver member, my experience with Air Côte d'Ivoire over the past year has been somewhat disappointing due to an overall delay rate of about 21%. The cumulative effect on travel plans and convenience is frustrating.",-0.5
CUST0083,Explorer,Business,Travel Agency,46,18,415.0,"R008, R009, R005, R003, R001, R006, R011, R010, R004, R007, R002, R012","Over the past year, my experience with Air Côte d'Ivoire as a frequent traveler has been frustrating due to an extremely high delay rate of nearly half (39%) all flights taken through this airline, totaling over four hours cumulatively delayed time across numerous main routes. The loyalty tier Explorer unfortunately didn't seem enough support for someone flying 46 times in such conditions.",-0.8
CUST0084,Silver,Business,Mobile App,39,14,210.0,"R008, R004, R009, R001, R012, R006, R002, R007, R011, R003, R005, R010","Despite being a frequent flyer with Silver status, the high delay rate of over 35% across my numerous trips to Côte d'Ivoire has been quite disappointing and disruptive.",-1.0
CUST0087,Silver,Standard,Web,27,7,225.0,"R008, R001, R004, R005, R003, R002, R006, R009, R010, R007","As a Silver Loyalty Tier member with Air Côte d'Ivoire, I have flown Standard status for the past year and had an overall satisfactory experience despite experiencing some delays (7 out of 27 flights delayed). The main routes provided serviceable connectivity to my destinations on time. While there were inconveniences due to those few delays amounting approximately total delay times of around two hours across all trips, I appreciate their efforts in managing this issue.",-0.2
CUST0089,Explorer,Premium,Web,48,16,285.0,"R001, R004, R005, R009, R012, R006, R003, R011, R002, R008, R010, R007","As a loyal Explorer member, I have flown with Air Côte d'Ivoire for the past year on several key routes but unfortunately experienced frequent delays (16 out of my total flights). While these disruptions caused significant inconvenience and frustration over time given that it accumulated to 285 minutes across all trips due to poor reliability despite using our preferred booking channel: Web. My flight history shows a high delay rate, leading me to be less than satisfied with their service.",-0.8
CUST0090,Gold,Business,Travel Agency,48,12,290.0,"R004, R009, R011, R005, R012, R006, R003, R007, R001, R010, R002, R008","Over the past year as a Gold tier member, I've flown with Air Côte d'Ivoire through their travel agency channel for numerous trips across Africa and Europe (R004-R008). Despite my loyalty status expecting premium service, I experienced significant delays: out of 48 flights taken this time around in business class—12 delayed totaling over five hours—it has been frustrating to see such unreliability. The airline should seriously address these recurring issues.",-0.6
CUST0098,Gold,Standard,Corporate Desk,39,17,610.0,"R001, R002, R010, R007, R004, R005, R008, R011, R003, R009, R006, R012","Despite being a Gold member, I've experienced significant disruptions over the past year with Air Côte d'Ivoire—a total of 17 delays out of my last year's travels which is incredibly frustrating and unacceptable for frequent flyers like myself who have invested time in earning our loyalty rewards. The cumulative delay times add up to an alarming amount too (610 minutes). It seems there's a persistent issue on their main routes that needs urgent addressing.",-0.8
CUST0099,Explorer,Standard,Mobile App,45,11,315.0,"R010, R007, R002, R005, R008, R006, R003, R009, R004, R012, R001, R011","While I appreciate the convenience of booking flights through Air Côte d'Ivoire's mobile app, my overall experience has been marred by an unacceptable delay rate over numerous trips (11 delays in total). It is disappointing to consistently face disruptions that contribute significantly not just individually but cumulatively. More reliable flight schedules would certainly enhance customer satisfaction for loyal travelers like myself.",-0.6
CUST0100,Gold,Budget,Corporate Desk,32,9,285.0,"R004, R005, R003, R008, R009, R006, R012, R002, R007, R001","Despite being a Gold member with Air Côte d'Ivoire, I've experienced significant frustration due to the high delay rate of over 28% in my past year's flights (32 total). While I appreciate efforts made on certain routes like R004 and others for timely service, consistent delays have impacted overall satisfaction. A better system or communication would be appreciated from a Gold loyalty perspective.",-0.6
CUST0102,Explorer,Standard,Corporate Desk,40,12,255.0,"R003, R006, R009, R010, R001, R007, R005, R011, R004, R012, R002","As a frequent Explorer traveler, my overall experience with Air Côte d'Ivoire has been moderately satisfying despite some challenges due to their relatively high delay rate of 30%. While I appreciate the variety in routes and preferred booking channels through Corporate Desk, I'd recommend improvements for timely service. Overall sentiment remains neutral as I've encountered both good moments such as satisfactory flight experiences on main routes like R003 but also faced significant delays totaling over three hours across multiple flights.",-0.2
CUST0103,Silver,Business,Web,34,12,320.0,"R004, R010, R001, R003, R005, R007, R009, R006, R012, R002, R008","As a loyal Silver member, I've had mixed experiences with Air Côte d'Ivoire over the past year—totaling 34 flights and unfortunately enduring delays on around half of them (35.3% delay rate). While I appreciate their efforts in managing such disruptions when they do occur through my preferred booking channel—the Web—I remain dissatisfied due to frequent setbacks that have disrupted important business meetings, especially considering I'm a Silver tier member who expects better reliability.",-0.4
CUST0104,Silver,Standard,Mobile App,44,10,300.0,"R003, R011, R004, R001, R002, R006, R007, R008, R010, R012, R005, R009","While Air Côte d'Ivoire has been a frequent choice for me, my experiences have had some letdowns with an average delay rate of over 22%. The mobile app booking channel is convenient and the airline provides good service on time where possible.",-0.2
CUST0106,Explorer,Budget,Mobile App,33,11,340.0,"R001, R004, R009, R010, R011, R002, R012, R005, R007","As a frequent Budget Explorer with Air Côte d'Ivoire, I've encountered significant delays over the past year—11 out of my total flights were delayed by an average of nearly eleven hours in total (340 minutes). While I appreciate using their mobile app for bookings and enjoy flying on routes like R001 to R012 occasionally, this high delay rate has been frustrating. I'm hoping they can improve reliability soon.",-0.7
CUST0108,Gold,Business,Travel Agency,41,8,295.0,"R003, R012, R004, R005, R009, R010, R001, R008, R006, R007","As a Gold member, I appreciate the premium service Air Côte d'Ivoire offers on my main routes R003 and R012; however, I've experienced quite high delays with an overall delay rate of nearly 20%. While I'd be happy to forgive one minor inconvenience for such frequent disruptions that cumulatively impact work schedules significantly.",-0.5
CUST0109,Gold,Business,Corporate Desk,31,7,215.0,"R003, R006, R001, R004, R005, R011, R007, R012, R008, R002, R009, R010","As a Gold member of Air Côte d'Ivoire, I've experienced some delays totaling seven flights over the past year with an average delay time that affected my business schedule significantly. While I understand occasional disruptions can occur due to various reasons beyond control, it would be appreciated if these were minimized in order for us loyal customers who rely on punctuality and premium service expectations.",-0.5
CUST0111,Silver,Business,Mobile App,38,10,265.0,"R005, R007, R009, R002, R001, R004, R008, R011, R003, R006, R010, R012","As a Silver loyalty tier member, I've taken advantage of Air Côte d'Ivoire for my business travels over the past year with an average delay rate nearing 26%. While I appreciate their mobile app convenience and frequent flyer benefits as a Gold member (Silver status), it is quite frustrating to encounter such high delays across all flights flown. The cumulative impact on time management during critical work trips can no longer be overlooked.",-0.7
CUST0112,Explorer,Standard,Web,50,10,245.0,"R006, R008, R002, R009, R012, R001, R010, R003, R007, R005, R011, R004","As an Explorer Tier member, I've had a mixed experience with Air Côte d'Ivoire over the past year - there's consistent reliability on my favorite routes like R006 and R008, but unfortunately, there were frequent delays (10 out of 50 flights) totaling about 245 minutes. While I appreciate their efforts in keeping these main connections running smoothly most times, I'd welcome a more robust commitment to minimizing disruptions for travelers who rely heavily on this service.",-0.2
CUST0113,Explorer,Standard,Mobile App,48,10,135.0,"R003, R007, R004, R006, R005, R008, R012, R001, R011, R009, R002, R010","While Air Côte d'Ivoire's mobile app booking system is user-friendly, my experience has been hindered by a significant delay rate of nearly 21%. Out of the numerous flights I've taken (48 in total), I experienced delays on more than half of them. Despite being an Explorer tier member and often appreciating their efforts to connect us with convenient routes like R003 through R012, this consistent issue over a year has been frustrating for me.",-0.7
CUST0114,Explorer,Business,Mobile App,41,7,255.0,"R005, R010, R006, R012, R009, R001, R002, R003, R004, R011, R008","As an Explorer tier member, I appreciate the convenience of using Air Côte d'Ivoire's mobile app for booking flights on my main routes such as R005 and R010. However, I've experienced a total delay rate of about 17% over 41 flights this year (7 out of 41), with accumulated delays totaling nearly four hours across all tickets due to these disruptions.",-0.6
CUST0115,Explorer,Standard,Corporate Desk,43,12,345.0,"R001, R004, R007, R006, R009, R003, R005, R012, R008, R011","Having flown with Air Côte d'Ivoire for the past year, I've experienced a significant number of delays—12 out of my total flights were delayed (27.9%). This high delay rate has caused considerable inconvenience and frustration throughout our journey together.",-0.7
CUST0118,Explorer,Business,Corporate Desk,42,10,215.0,"R007, R006, R009, R002, R004, R001, R008, R003, R005, R012, R010, R011","As a loyal Explorer member, I have flown Air Côte d'Ivoire on multiple occasions for business purposes over the past year with mixed experiences; while their frequent flyer program rewards were appreciated (42 flights), my frustration is mounting due to an unsettling delay rate of 23.8%, totaling around five hours lost in just ten delayed flights across various routes.",-0.6
CUST0119,Silver,Standard,Web,50,13,345.0,"R001, R007, R008, R011, R003, R004, R005, R012, R006, R010, R009, R002","As a Silver member with Air Côte d'Ivoire, I've flown multiple times over the past year but faced an unfortunate delay rate of approximately 26%. Despite enjoying good service on most occasions and appreciating being part of their loyalty program as opposed to Gold members who might have higher expectations for premium treatment. I appreciate them working towards improving this aspect in future flights.",-0.3
